claim,evidence,label,claim_clean,evidence_clean,combined_text
ART substantially reduces infectiveness of HIV-positive people.,"For a scenario in which 80% of HIV-infected individuals start treatment on average 1 y after their CD4 count drops below 350 cells/µl and 85% remain on treatment after 3 y, the models projected that HIV incidence would be 35% to 54% lower 8 y after the introduction of ART, compared to a counterfactual scenario in which there is no ART.",1,art substantially reduces infectiveness hivpositive people,scenario hivinfected individual start treatment average cd count drop cellsµl remain treatment model projected hiv incidence would lower introduction art compared counterfactual scenario art,art substantially reduces infectiveness hivpositive people scenario hivinfected individual start treatment average cd count drop cellsµl remain treatment model projected hiv incidence would lower introduction art compared counterfactual scenario art
ART substantially reduces infectiveness of HIV-positive people.,"Considering the actual scale-up of ART in South Africa, seven models estimated that current HIV incidence is 17% to 32% lower than it would have been in the absence of ART.",1,art substantially reduces infectiveness hivpositive people,considering actual scaleup art south africa seven model estimated current hiv incidence lower would absence art,art substantially reduces infectiveness hivpositive people considering actual scaleup art south africa seven model estimated current hiv incidence lower would absence art
ART substantially reduces infectiveness of HIV-positive people.,"CONCLUSIONS Mathematical models evaluating the impact of ART vary substantially in structure, complexity, and parameter choices, but all suggest that ART, at high levels of access and with high adherence, has the potential to substantially reduce new HIV infections.",1,art substantially reduces infectiveness hivpositive people,conclusion mathematical model evaluating impact art vary substantially structure complexity parameter choice suggest art high level access high adherence potential substantially reduce new hiv infection,art substantially reduces infectiveness hivpositive people conclusion mathematical model evaluating impact art vary substantially structure complexity parameter choice suggest art high level access high adherence potential substantially reduce new hiv infection
ATF4 is a general endoplasmic reticulum stress marker.,,0,atf general endoplasmic reticulum stress marker,,atf general endoplasmic reticulum stress marker 
ATM and Rad3 related protein are critical for sensing DNA damage.,,0,atm rad related protein critical sensing dna damage,,atm rad related protein critical sensing dna damage 
ATM and Rad3 related protein have no role in sensing DNA damage.,,0,atm rad related protein role sensing dna damage,,atm rad related protein role sensing dna damage 
AZT given with ribavirin increases anemia.,,0,azt given ribavirin increase anemia,,azt given ribavirin increase anemia 
Activated Cdk5 phosphorylates the ATM protein in response to DNA damage.,"Here we show that Cdk5 (cyclin-dependent kinase 5), activated by DNA damage, directly phosphorylates ATM at Ser 794 in post-mitotic neurons.",1,activated cdk phosphorylates atm protein response dna damage,show cdk cyclindependent kinase activated dna damage directly phosphorylates atm ser postmitotic neuron,activated cdk phosphorylates atm protein response dna damage show cdk cyclindependent kinase activated dna damage directly phosphorylates atm ser postmitotic neuron
Activated Cdk5 phosphorylates the ATM protein in response to DNA damage.,"Thus, activation of Cdk5 by DNA damage serves as a critical signal to initiate the ATM response and regulate ATM-dependent cellular processes.",1,activated cdk phosphorylates atm protein response dna damage,thus activation cdk dna damage serf critical signal initiate atm response regulate atmdependent cellular process,activated cdk phosphorylates atm protein response dna damage thus activation cdk dna damage serf critical signal initiate atm response regulate atmdependent cellular process
Activated Cdk5 regulates DNA damage-induced neuronal death.,"Interruption of the Cdk5-ATM pathway attenuates DNA-damage-induced neuronal cell cycle re-entry and expression of the p53 targets PUMA and Bax, protecting neurons from death.",1,activated cdk regulates dna damageinduced neuronal death,interruption cdkatm pathway attenuates dnadamageinduced neuronal cell cycle reentry expression p target puma bax protecting neuron death,activated cdk regulates dna damageinduced neuronal death interruption cdkatm pathway attenuates dnadamageinduced neuronal cell cycle reentry expression p target puma bax protecting neuron death
Activation of PPM1D enhances p53 function.,PPM1D mutations were mutually exclusive with TP53 mutations in BSG and attenuated p53 activation in vitro.,0,activation ppmd enhances p function,ppmd mutation mutually exclusive tp mutation bsg attenuated p activation vitro,activation ppmd enhances p function ppmd mutation mutually exclusive tp mutation bsg attenuated p activation vitro
Activation of PPM1D enhances p53 function.,PPM1D mutations were truncating alterations in exon 6 that enhanced the ability of PPM1D to suppress the activation of the DNA damage response checkpoint protein CHK2.,0,activation ppmd enhances p function,ppmd mutation truncating alteration exon enhanced ability ppmd suppress activation dna damage response checkpoint protein chk,activation ppmd enhances p function ppmd mutation truncating alteration exon enhanced ability ppmd suppress activation dna damage response checkpoint protein chk
Activation of PPM1D enhances p53 function.,"Functional studies demonstrate that the mutations result in enhanced suppression of p53 in response to ionizing radiation exposure, suggesting that the mutant alleles encode hyperactive PPM1D isoforms.",0,activation ppmd enhances p function,functional study demonstrate mutation result enhanced suppression p response ionizing radiation exposure suggesting mutant allele encode hyperactive ppmd isoforms,activation ppmd enhances p function functional study demonstrate mutation result enhanced suppression p response ionizing radiation exposure suggesting mutant allele encode hyperactive ppmd isoforms
